Application Messages List

No. | Message Code | Message Type | Condition/Trigger | Vietnamese Message
96 | MSG096 | Error | Booking history loading fails | Không thể tải lịch sử đặt lịch
97 | MSG097 | Error | Service loading fails | Không thể tải danh sách dịch vụ
98 | MSG098 | Error | Package loading fails | Không thể tải danh sách gói dịch vụ
99 | MSG099 | Error | Wishlist loading fails | Không thể tải danh sách yêu thích
100 | MSG100 | Success | Wishlist add success | Đã thêm vào danh sách yêu thích
101 | MSG101 | Success | Wishlist remove success | Đã xóa khỏi danh sách yêu thích
102 | MSG102 | Error | Wishlist operation fails | Không thể thực hiện thao tác yêu thích
103 | MSG103 | Error | Medical note loading fails | Không thể tải ghi chú y tế
104 | MSG104 | Error | Medical note update fails | Không thể cập nhật ghi chú y tế
105 | MSG105 | Success | Medical note update success | Đã cập nhật ghi chú y tế
106 | MSG106 | Error | Care profile loading fails | Không thể tải hồ sơ chăm sóc
107 | MSG107 | Error | Relative loading fails | Không thể tải thông tin người thân
108 | MSG108 | Error | Service type loading fails | Không thể tải loại dịch vụ
109 | MSG109 | Error | Zone detail loading fails | Không thể tải chi tiết khu vực
110 | MSG110 | Error | Role loading fails | Không thể tải thông tin vai trò
111 | MSG111 | Error | Feedback loading fails | Không thể tải đánh giá
112 | MSG112 | Error | Feedback submission fails | Không thể gửi đánh giá
113 | MSG113 | Success | Feedback submission success | Đánh giá đã được gửi
114 | MSG114 | Error | Booking cancellation fails | Không thể hủy lịch hẹn
115 | MSG115 | Success | Booking cancellation success | Đã hủy lịch hẹn
116 | MSG116 | Error | Booking reschedule fails | Không thể đổi lịch hẹn
117 | MSG117 | Success | Booking reschedule success | Đã đổi lịch hẹn thành công
118 | MSG118 | Error | Profile image upload fails | Không thể tải lên ảnh đại diện
119 | MSG119 | Success | Profile image upload success | Đã cập nhật ảnh đại diện
120 | MSG120 | Error | Network connection error | Không có kết nối mạng
121 | MSG121 | Error | Server timeout error | Máy chủ không phản hồi
122 | MSG122 | Error | Authentication expired | Phiên đăng nhập đã hết hạn
123 | MSG123 | Error | Permission denied | Không có quyền thực hiện thao tác này
124 | MSG124 | Error | Data validation error | Dữ liệu không hợp lệ
125 | MSG125 | Error | File size too large | Kích thước file quá lớn
126 | MSG126 | Error | Invalid file format | Định dạng file không được hỗ trợ
127 | MSG127 | Error | Booking time conflict | Thời gian đặt lịch bị trùng
128 | MSG128 | Error | Service not available | Dịch vụ không khả dụng
129 | MSG129 | Error | Nurse not available | Chuyên viên không khả dụng
130 | MSG130 | Error | Payment method not supported | Phương thức thanh toán không được hỗ trợ
131 | MSG131 | Error | Insufficient wallet balance | Số dư ví không đủ
132 | MSG132 | Error | Booking limit exceeded | Đã vượt quá giới hạn đặt lịch
133 | MSG133 | Error | Care profile limit exceeded | Đã vượt quá giới hạn hồ sơ chăm sóc
134 | MSG134 | Error | Relative limit exceeded | Đã vượt quá giới hạn người thân
135 | MSG135 | Error | Medical note limit exceeded | Đã vượt quá giới hạn ghi chú y tế
136 | MSG136 | Success | Data sync success | Đồng bộ dữ liệu thành công
137 | MSG137 | Error | Data sync fails | Không thể đồng bộ dữ liệu
138 | MSG138 | Info | Data loading in progress | Đang tải dữ liệu...
139 | MSG139 | Info | Processing in progress | Đang xử lý...
140 | MSG140 | Info | Uploading in progress | Đang tải lên...
141 | MSG141 | Success | Settings saved | Đã lưu cài đặt
142 | MSG142 | Error | Settings save fails | Không thể lưu cài đặt
143 | MSG143 | Success | Profile updated | Đã cập nhật hồ sơ
144 | MSG144 | Error | Profile update fails | Không thể cập nhật hồ sơ
145 | MSG145 | Success | Password changed | Đã đổi mật khẩu
146 | MSG146 | Error | Password change fails | Không thể đổi mật khẩu
147 | MSG147 | Success | Account created | Đã tạo tài khoản
148 | MSG148 | Error | Account creation fails | Không thể tạo tài khoản
149 | MSG149 | Success | Login successful | Đăng nhập thành công
150 | MSG150 | Error | Login fails | Đăng nhập thất bại
